Family	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	N18	N19	N20	N21	N22	N23	N24	N25	N26	N27	N28	N29	N30	N31	W1	W2	W3	W4
Haliangiaceae	0	0	0	0	0	0.005571962	0	0	0	0	0.018477458	0.020376282	0.004084634	0.00409249	0	0	0.027251669	0.042151681	0	0.01079797	0	0.001831401	0.012070492	0	0	0	0	0	0	0.007463801	0	0.123841849	0.118796199	0.081289798	0.110186767
SBR1031_unclassified	0	0	0	0	0	0	0	0	0.002986233	0.006342361	0	0	0.016338534	0	0	0	0	0.006484874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylophilaceae	0	0	0	0	0.008740877	0.011143924	0.01943131	0	0.014931167	0.006342361	0.04927322	0.03396047	0.098031207	0.024554942	0.005185377	0.056922139	0.047690421	0.029181933	0.00194742	0.07558579	0.001845052	0.007325605	0.016093989	0	0	0	0	0	0.003750797	0.0037319	0	0.339418402	0.409186906	0.237095245	0.209354856
Crocinitomicaceae	0	0.007754944	0.074574305	0.00573954	0.02622263	0.044575695	0.01943131	0.024792979	0.116463105	0.10464895	0.003079576	0.013584188	0.04493097	0.032739922	0.007778066	0	0.027251669	0.06484874	0	0.016196955	0.001845052	0	0	0	0	0	0	0	0	0	0	0.123841849	0.211193242	0.115160547	0.187317503
Rhodocyclaceae	0	0.007754944	0.008286034	0	0	0.005571962	0.006477103	0.014875787	0.14632544	0.025369443	0.751416605	0.061128846	0.020423168	0.028647432	0.082966036	0.085383208	0.432620248	0.006484874	0	0.07558579	0.003690105	0.034796623	0.028164481	0.006702413	0	0	0	0	0	0	0.014392631	0.752224567	0.910770855	0.738382333	0.473803096
Enterobacteriaceae	0	0	0.012429051	0	0	0.005571962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004023497	0.006702413	0	0	0	0.004838163	0	0.007463801	0	0.192642877	0.224392819	0.115160547	0.082640075
Sphingobacteriaceae	0.012749004	0.007754944	0.058002237	0	0	0.005571962	0	0.004958596	0	0.009513541	0.058511949	0.061128846	0.024507802	0.00409249	0.01814882	0.008131734	0.292955444	0.019454622	0.095423564	0.059388835	0.298898504	0.053110635	0.012070492	0.033512064	0.017106445	0.031915511	0.083867489	0.256422662	0.06376355	0.477683236	0.053972366	0.119255114	0.158394931	0.081289798	0.082640075
Methylacidiphilaceae	0.015936255	0.042652191	0	0	0.008740877	0.016715886	0.006477103	0.029751574	0.074655837	0.009513541	0	0	0	0	0	0	0	0	0	0.016196955	0.040591155	0.133692288	0.096563933	0.107238606	0.08767053	0.235014217	0.119810699	0.024190817	0.112523911	0.052246604	0.291450777	0.064214292	0.05279831	0.033870749	0.071621398
Mycobacteriaceae	0.006374502	0	0	0	0	0	0.012954207	0	0.0089587	0.00317118	0.003079576	0	0	0.00409249	0.002592689	0	0.006812917	0.016212185	0.017526777	0.016196955	0	0	0	0	0	0	0	0	0	0	0	0.651316393	0.739176346	0.582576887	0.479312435
Desulfovibrionaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.055040822	0.026399155	0.054193199	0.060602722
Hydrogenophilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002592689	0	0	0	0	0	0	0	0.004023497	0	0	0	0	0	0	0	0	0.055040822	0.039598733	0.067741498	0.049584045
OM190_fa	0	0.003877472	0.008286034	0	0	0.016715886	0.038862621	0.024792979	0.15528414	0.028540623	0.699063809	0.461862392	0.236908749	0.020462451	0.13222712	0.056922139	0.827769451	0.298304205	0.017526777	0.518302559	0.035055997	0.41023387	0.088516939	0.04691689	0.004276611	0.017408461	0.02396214	0.091925105	0.003750797	0.179131214	0.043177893	0.431153105	0.739176346	0.528383688	0.446256405
Rhodanobacteraceae	0	0	0	0	0	0.027859809	0.006477103	0.019834383	0.032848568	0.015855902	0.064671101	0.196970726	0.134792909	0.102312257	0.207415089	0.048790405	0.347458782	0.038909244	0.009737098	0.04319188	0.112548202	0.199622731	0.229339342	0.214477212	0.027797973	0.147971914	0.497214401	0.212879191	0.1275271	0.26496492	0.104346575	0.064214292	0.197993664	0.040644899	0.038565368
Omnitrophicaeota_fa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002592689	0	0.003406459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.97679112	2.851108765	2.899336133	2.253319376
OPB56_fa	0	0.007754944	0.008286034	0	0.004370438	0.005571962	0.006477103	0.004958596	0.014931167	0.006342361	0.314116778	0.020376282	0.036761702	0.024554942	0.119263676	0.028461069	0.013625835	0.003242437	0.00194742	0	0.389306076	0.208779737	0.185080872	0.180965147	0.038489501	0.258225498	0.053914815	0.038705307	0.056261956	0.078369906	0.075561313	0.022933676	0	0.0135483	0.022037353
Gloeocapsaceae	0.219920319	0.527336177	0.161577661	0.034437238	0.104890521	0.044575695	0.006477103	0.009917191	0.011944934	0.006342361	0	0	0	0	0	0	0.003406459	0	0.00194742	0	0.001845052	0.001831401	0	0.006702413	0.006414917	0	0	0.004838163	0.003750797	0.052246604	0.003598158	0	0	0	0
Cellvibrionaceae	0	0	0.004143017	0	0.004370438	0	0	0	0	0.00317118	0	0	0	0	0	0	0.003406459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99532153	0.83157339	0.806123831	0.650101923
